m	n	size	bitpersym	timeofget	ptimeofget	timeofrank	ptimeofrank

20	1048576	150720	1.1499	2	1.90735	1	0.953674
21	2097152	236056	0.900482	3	1.43051	4	1.90735
22	4194304	406968	0.77623	6	1.43051	6	1.43051
23	8388608	749272	0.714561	12	1.43051	12	1.43051
24	16777216	1434808	0.68417	24	1.43051	25	1.49012
25	33554432	2807744	0.669418	49	1.46031	49	1.46031
26	67108864	5557352	0.662488	98	1.46031	98	1.46031
27	134217728	11064000	0.659466	195	1.45286	197	1.46776
28	268435456	22092224	0.6584	391	1.45659	395	1.47149
29	536870912	44178496	0.658311	783	1.45845	814	1.51619
30	1073741824	88410688	0.658711	1567	1.45938		 rank erro 0
